activity_set,name,note
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Rice Cultivation, Field Crops, None, Rice crop area, NA",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Biodiesel",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Biodiesel",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Biomethane",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Biomethane",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Crude oil",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Crude oil",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Crude oil",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Digester gas",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Digester gas",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Distillate",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Distillate",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Distillate",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Jet fuel",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Jet fuel",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Jet fuel",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Kerosene",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Kerosene",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Kerosene",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Landfill gas",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Landfill gas",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Natural gas",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Propane",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Propane",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Propane",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Renewable Diesel",
 commercial_petroleum   ,"Commercial, CHP: Commercial, Useful Thermal Output, None, Fuel combustion, Renewable Diesel",
 commercial_gas         ,"Commercial, Communication, Other Message Communications, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Other Message Communications, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Other Message Communications, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Radio Broadcasting Stations, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Radio Broadcasting Stations, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Radio Broadcasting Stations, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Telephone & Cell Phone Services, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Telephone & Cell Phone Services, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, Telephone & Cell Phone Services, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, U.S. Postal Service, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, U.S. Postal Service, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Communication, U.S. Postal Service, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Domestic Utilities, Sewerage Systems, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Domestic Utilities, Sewerage Systems, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Domestic Utilities, Sewerage Systems, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Domestic Utilities, Water Supply, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Domestic Utilities, Water Supply, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Domestic Utilities, Water Supply, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Education, College, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Education, College, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Education, College, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Education, School, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Education, School, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Education, School, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Food Services, Food & Liquor, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Food Services, Food & Liquor, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Food Services, Food & Liquor, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Food Services, Restaurant, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Food Services, Restaurant, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Food Services, Restaurant, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Health Care, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Health Care, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Health Care, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Hotels, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Hotels, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Hotels, Not Specified, None, Fuel combustion, Natural gas",
 commercial_other       ,"Commercial, Landscape, Fertilizer, Direct, Commercial use of nitrogen fertilizer on turf, Synthetic fertilizers",
 commercial_other       ,"Commercial, Landscape, Fertilizer, Indirect, Commercial use of nitrogen fertilizer on turf, Synthetic fertilizers",
 commercial_gas         ,"Commercial, National Security, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, National Security, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, National Security, Not Specified, None, Fuel combustion, Natural gas",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Biodiesel",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Biodiesel",
 commercial_coal        ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Coal",
 commercial_coal        ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Coal",
 commercial_coal        ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Coal",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Distillate",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Distillate",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Distillate",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Ethanol",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Ethanol",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Gasoline",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Gasoline",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Gasoline",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Kerosene",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Kerosene",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Kerosene",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, LPG",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, LPG",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, LPG",
 commercial_gas         ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Natural gas",
 commercial_gas         ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Natural gas",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Renewable Diesel",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Renewable Diesel",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Residual fuel oil",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Residual fuel oil",
 commercial_petroleum   ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Residual fuel oil",
 commercial_wood        ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Wood (wet)",
 commercial_wood        ,"Commercial, Not Specified, Not Specified, None, Fuel combustion, Wood (wet)",
 commercial_coal        ,"Commercial, Not Specified, Not Specified, None, Fuel storage, Coal",
 commercial_other       ,"Commercial, Not Specified, Not Specified, None, Use of substitutes for ozone depleting substances, Aerosols",
